Date,SPY,GLD,ETH,BTC
2021-02-01,371.278534,174.229996,1374.3726276151929,33529.751925955556
2021-02-02,376.528473,172.110001,1512.590880760659,35352.9835226113
2021-02-03,376.824554,171.850006,1665.2541898247123,37645.36418108392
2021-02-04,381.107422,168.149994,1596.060234930585,36946.98280610518
2021-02-05,382.607422,169.809998,1719.3409568189181,38293.143548865926
2021-02-08,385.370605,171.520004,1728.0443344703413,45595.296543231874
2021-02-09,385.113983,172.080002,1770.1501439448311,46451.69811968345
2021-02-10,384.946228,172.710007,1741.5957034544308,44818.57796304447
2021-02-11,385.567932,171.210007,1786.2177979920862,47976.23297353649
2021-02-12,387.472565,170.690002,1841.636034955291,47327.89805252396
2021-02-16,387.136993,168.240005,1782.220445513807,49146.12468045646
2021-02-17,387.225891,166.330002,1850.0939271028628,52130.652075420905
2021-02-18,385.57782,166.320007,1939.4852275047965,51563.189360748074
2021-02-19,384.896912,167.009995,1955.6288984384103,55920.39249639258
2021-02-22,381.936371,169.509995,1776.7149033789115,54087.6890344086
2021-02-23,382.400208,169.119995,1577.7587823499086,48893.05712345618
2021-02-24,386.613983,169.0,1623.9892846575387,49694.165341291955
2021-02-25,377.298218,165.820007,1482.5393812360037,47078.08915482994
2021-02-26,375.354156,161.809998,1444.8694064218723,46294.658289970954
2021-03-01,384.452789,161.529999,1570.2627128143251,49597.68251018308
2021-03-02,381.45285,162.410004,1487.240571291728,48462.753336924136
2021-03-03,376.400238,160.619995,1567.846098336543,50356.40324367917
2021-03-04,371.74231,159.039993,1539.2196180298172,48373.85272366816
2021-03-05,378.581146,159.139999,1528.7750870434852,48761.929095021886
2021-03-08,376.696289,157.490005,1833.4951219586044,52384.93795624969
2021-03-09,382.074585,160.839996,1870.904852551003,54896.56073537102
2021-03-10,384.452789,161.660004,1795.1729872483327,55876.35798382727
2021-03-11,388.35083,161.520004,1826.079284971513,57780.342636939546
2021-03-12,388.87384,161.490005,1766.5803372205326,57230.069718251514
2021-03-15,391.192932,162.199997,1793.7397609459492,55621.47810943438
2021-03-16,390.699524,162.350006,1805.0762178080772,56908.22588733757
2021-03-17,392.031769,163.509995,1823.3043556865716,58912.89979319487
2021-03-18,386.32782,162.559998,1776.2108785554888,57647.2377776374
2021-03-19,385.613007,163.240005,1809.1739200914192,58038.55746046644
2021-03-22,388.692108,163.0,1680.9428141135215,54091.60522059929
2021-03-23,385.632813,161.809998,1668.3905433669747,54356.399300086574
2021-03-24,383.672424,162.369995,1582.3464035662732,52300.82248195012
2021-03-25,385.830811,161.779999,1586.3678982070926,51308.276137257395
2021-03-26,392.048462,162.240005,1699.0742438475172,55031.10964047369
2021-03-29,391.850433,160.309998,1816.6207825157014,57631.88851762134
2021-03-30,390.810913,157.570007,1840.5586427320807,58750.39284170505
2021-03-31,392.394958,159.960007,1918.9501355975858,58759.318731170366
2021-04-01,396.632446,161.979996,1968.085837736851,58724.42075608773
2021-04-05,402.325378,161.919998,2107.144873620294,59083.10098089184
2021-04-06,402.087799,163.220001,2112.0125661263337,57992.84829248639
2021-04-07,402.553101,162.759995,1963.7256591016649,55948.105250946945
2021-04-08,404.463928,164.509995,2080.645778789258,58081.44344468623
2021-04-09,407.40448,163.270004,2066.980794140365,58129.83961168872
